step,hour,pv_power_w,load_power_w,battery_soc_pct,battery_power_w,ev_power_w,grid_power_w,relay_recommendation,flexible_load_command,ev_charger_command,battery_mode,target_ev_power_w,reason
37,6.17,1018,1123,38.77,-105,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
38,6.33,2072,933,39.24,1139,0,0,hold,hold,hold,normal,0,No control action required.
39,6.5,2947,988,40.06,1959,0,0,hold,hold,hold,normal,0,No control action required.
40,6.67,4333,1177,41.38,3156,0,0,hold,hold,hold,normal,0,No control action required.
41,6.83,5107,962,42.83,3500,0,0,hold,hold,hold,normal,0,No control action required.
42,7.0,6103,2281,44.29,3500,0,0,hold,hold,hold,normal,0,No control action required.
43,7.17,7204,1878,45.75,3500,0,0,hold,enable,enable,solar_surplus,2826,Strong solar surplus available; enable flexible loads and EV charging.
44,7.33,7363,1866,46.54,1897,3600,0,enable_flexible_load,enable,enable,solar_surplus,2997,Strong solar surplus available; enable flexible loads and EV charging.
45,7.5,9231,2055,48.0,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
46,7.67,9172,1958,49.46,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
47,7.83,11363,2140,50.92,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
48,8.0,12221,2011,52.37,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
49,8.17,11528,2105,53.83,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
50,8.33,12779,2179,55.29,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
51,8.5,13736,1985,56.75,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
52,8.67,13581,2231,58.21,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
53,8.83,15556,1984,59.67,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
54,9.0,16872,2069,61.12,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
55,9.17,18092,1054,62.58,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
56,9.33,16951,920,64.04,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
57,9.5,18082,896,65.5,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
58,9.67,19578,1290,66.96,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
59,9.83,17705,1171,68.42,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
60,10.0,18376,1198,69.87,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
61,10.17,19868,882,71.33,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
62,10.33,20148,1155,72.79,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
63,10.5,23080,1120,74.25,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
64,10.67,20326,1133,75.71,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
65,10.83,23245,855,77.17,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
66,11.0,22758,908,78.62,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
67,11.17,23009,1124,80.08,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
68,11.33,23516,1243,81.54,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
69,11.5,23184,907,83.0,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
70,11.67,21737,930,84.46,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
71,11.83,22520,1219,85.92,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
72,12.0,24441,984,87.37,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
73,12.17,24849,1240,88.83,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
74,12.33,21222,904,90.29,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
75,12.5,24208,1002,91.75,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
76,12.67,23918,1109,93.21,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
77,12.83,22689,928,94.67,3500,3600,0,enable_flexible_load,enable,enable,solar_surplus,3600,Strong solar surplus available; enable flexible loads and EV charging.
